Key,Name,Link ID,Tags,Ideas
google/gsoc2012/nkp,Differ,nkp,"digitization, Jpeg 2000, library, image formats",https://github.com/moravianlibrary/differ/wiki/GSoC
google/gsoc2012/dlang,Digital Mars,dlang,D programming language,http://prowiki.org/wiki4d/wiki.cgi?GSOC_2012_Ideas
google/gsoc2012/django,Django Software Foundation,django,,https://code.djangoproject.com/wiki/SummerOfCode2012
google/gsoc2012/docbook,DocBook Project,docbook,"xml, xsl, DocBook, documentation generation, xslt, moinmoin, ant",http://docbook.xmlpress.net/tiki-index.php?page=Ideas2012
google/gsoc2012/dragonflybsd,DragonFly BSD,dragonflybsd,"bsd, os, C, kernel",http://www.dragonflybsd.org/docs/developer/gsocprojectspage/
google/gsoc2012/drizzle,Drizzle,drizzle,"drizzle, mysql, sql, rdbms, c++, cloud, web, json, high-availability, nosql",http://wiki.drizzle.org/GSOC_2012_Project_Ideas
google/gsoc2012/drupal,Drupal,drupal,"drupal, cms, web, php, javascript, framework",http://groups.drupal.org/google-summer-code-2011/community-ideas
google/gsoc2012/e_cidadania,e-cidadania,e_cidadania,"e-democracy, django, gpl, python, participation, citizen",http://ecidadania.org/en/gsoc/2012
google/gsoc2012/eff_tor,Electronic Frontier Foundation/The Tor Project,eff_tor,"privacy, security, anti-censorship, c, python, c++, java",https://www.torproject.org/about/gsoc.html
google/gsoc2012/esug,ESUG (European Smalltalk User Group),esug,"smalltalk, image, virtual machines, ide, gui, etoys, persistency, package management, web applications, statistics",http://gsoc2012.esug.org/projects
google/gsoc2012/evergreen,Evergreen,evergreen,"Perl, JavaScript, C, Java, XML, XMPP, PostgreSQL, Android, Dojo, testing",http://evergreen-ils.org/dokuwiki/doku.php?id=dev:summer_of_coding_ideas
google/gsoc2012/fsl,Formal Systems Laboratory at UIUC,fsl,"language design, formal semantics, formal methods, java, user interface, compilation, research",http://k-framework.org/index.php/ProjectIdeas
google/gsoc2012/fossasia,FOSSASIA,fossasia,"asian scripts, cryptostick, foss in asia, gui, linuxasia",http://fossasia.org/gsoc-ideas
google/gsoc2012/freebsd,FreeBSD,freebsd,"bsd, virtualization, os, distributions, web, compilers, qa, perl, shell_scripting, distribution, c, operating_system, database, pcbsd, freebsd, c++, sh, security",http://wiki.freebsd.org/IdeasPage
google/gsoc2012/freenet,Freenet Project Inc,freenet,"java, privacy, darknet, small world experiment, friend-to-friend, anonymity, peer-to-peer, filesharing",http://new-wiki.freenetproject.org/Google_Summer_of_Code/2012
google/gsoc2012/freeseer,Freeseer recording and streaming suite,freeseer,"video, streaming, elearning, recording, screencast, demo",https://github.com/Freeseer/freeseer/wiki/NewProject
google/gsoc2012/freifunk,freifunk,freifunk,"free wireless, community networks, network tools, wlan networks, mesh networks, network CMS",http://wiki.freifunk.net/Ideas
google/gsoc2012/gcc,GCC - GNU Compiler Collection,gcc,"c, gcc, c++, compiler",http://gcc.gnu.org/wiki/SummerOfCode
google/gsoc2012/genomeinformatics,Genome Informatics,genomeinformatics,"biology, genome, genomics, java, mysql, restful, javascript, chado, perl, html5, python, bioinformatics, postgresql, php, bigdata",http://gmod.org/wiki/GSoC
google/gsoc2012/gentoo,Gentoo Foundation,gentoo,"virtualization, linux, distributions, xml, web, java, gtk, shell_scripting, web_development, xslt, python, web-interface, javascript, bsd, php, ruby, bash, c, operating_system, qt, database, science, c++, sh, security",http://wiki.gentoo.org/index.php?title=Google_Summer_of_Code/2012/Ideas
google/gsoc2012/gephi,Gephi Consortium,gephi,"complex networks, data mining, visualization, infovis, visual analytics, graph, graph viz, science",https://wiki.gephi.org/index.php/Google_Summer_Of_Code_2012
google/gsoc2012/gimp,GIMP,gimp,"image manipulation, graphics",http://wiki.gimp.org/index.php/Hacking:GSoC/2012/Ideas
google/gsoc2012/git,Git,git,"version control, c",https://github.com/peff/git/wiki/SoC-2012-Ideas
google/gsoc2012/gnome,GNOME,gnome,"shotwell, c, gtk, gnome, gtg, python, gstreamer, evolution, gnome-shell, clutter, javascript, rhythmbox",http://live.gnome.org/SummerOfCode2012/Ideas
google/gsoc2012/gnu,GNU Project,gnu,,http://www.gnu.org/software/soc-projects/ideas-2012.html
google/gsoc2012/gospo,Google Open Source Programs Office,gospo,,
google/gsoc2012/gdcm,Grassroots DICOM,gdcm,"medical_records, hospitals, xml, web, cryptography, DICOM, c++, JPEG 2000, compression, GPU",http://sourceforge.net/apps/mediawiki/gdcm/index.php?title=GDCM_Summer_of_Code_2012
google/gsoc2012/gstreamer,GStreamer,gstreamer,"multimedia, gstreamer, gnome, kde, webm",http://gstreamer.freedesktop.org/wiki/SocProjects
google/gsoc2012/haiku,Haiku,haiku,"c, c++, os, kernel, userland, media, usability, beos",http://www.haiku-os.org/community/gsoc/2012/ideas
google/gsoc2012/haskell,haskell.org,haskell,"haskell, functional_programming, programming, language",http://hackage.haskell.org/trac/summer-of-code/report/1
google/gsoc2012/hedgewars,Hedgewars Project,hedgewars,"ai, artillery, pascal, ai_development, android, opengl, opengles, gravity, strategy, lua, iphone, ipad, ios, artificial_intelligence, game_engine, game_development, game, graphics, sdl, sdl2, freepascal, qt, c++, physics, wii",http://www.hedgewars.org/gsoc_ideas2012.html
google/gsoc2012/helenos,"HelenOS group at Department of Distributed and Dependable Systems, Charles University in Prague",helenos,"helenos, microkernel, multiserver, os, operating, system, ipc, kernel, c, bare metal",http://helenos.org/gsoc2012
google/gsoc2012/illumos,illumos,illumos,"C, operating systems, Unix, networking, virtualization, os, security, device drivers, system programming, kernel, assembly, python, ZFS, filesystems, DTrace, MDB, debugging, instrumentation, cryptography, testing, performance tuning, cloud computing, NFS",https://www.illumos.org/projects/illumos-gate/wiki/Project_Ideas
google/gsoc2012/idi_idrc,Inclusive Design Institute,idi_idrc,"accessibility, learning management, content management, interoperability, user experience, mobile, multimedia, common cartridge, Google Apps, OAuth, AChecker, ATutor, AContent, Fluid Infusion, open education, PHP, Javascript, CSS, AJAX, WAI-ARIA, video conferencing, synchronous communication, OpenMeetings, BigBlueButton, Moodle, ActionScript, Flex, SOAP, REST, jQuery, JSON, WebGL, HTML5, WCAG 2, AccessForAll",http://wiki.atutor.ca/display/atutorwiki/Google+Summer+of+Code+2012
google/gsoc2012/inkscape,Inkscape,inkscape,"svg, css, vector graphics, geometry, c++, gtk, gtkmm",http://wiki.inkscape.org/wiki/index.php/Google_Summer_Of_Code#Suggested_Ideas
google/gsoc2012/ecologylab,Interface Ecology Lab @ Texas A&M University,ecologylab,"android, metadata, multi-touch, web services, web portals, semantics, java, c#, python, django, json, xml, social media",http://ecologylab.net/summerofcode/
google/gsoc2012/geogebra,International GeoGebra Institute,geogebra,,http://dev.geogebra.org/trac/wiki/Gsoc2012
google/gsoc2012/incf,International Neuroinformatics Coordinating Facility,incf,"python, c, javascript, java, webservices, wps",http://www.incf.org/gsoc
google/gsoc2012/ipxe,iPXE,ipxe,"c, assembly, assembler, x86, hardware, driver, network, boot, protocol, tcp, iscsi, gpxe, etherboot, pxelinux, syslinux",http://ipxe.org/gsoc
google/gsoc2012/jboss,JBoss Community,jboss,"JBoss, Java",https://community.jboss.org/wiki/GSOC12Ideas
google/gsoc2012/jikesrvm,Jikes RVM,jikesrvm,"Java, virtual machine, compiler, garbage collection, class library, JVMTI, managed runtime",http://jikesrvm.org/Google+Summer+of+Code+2012
google/gsoc2012/joomla,Joomla!,joomla,"cms, php, javascript, mysql, framework, web services, platform",http://docs.joomla.org/GSOC_2012_Project_Ideas
google/gsoc2012/kde,KDE,kde,"accessibility, audio, browser, c++, desktop, education, games, linux, mac, music, office, pim, qt, sdk, semantic, windows",http://community.kde.org/GSoC/2012/Ideas
google/gsoc2012/kernelorg,Kernel.org - the Linux Kernel Organization,kernelorg,"c, syslinux, gpxe, network, mirrors, distributed-systems, ipxe, statistics, c++, perl, nfs, mirroring, php, distributions, iscsi",http://www.meflin.net/gsoc2012/Gsoc2012~ideas.html
google/gsoc2012/komodo,Komodo OpenLab,komodo,"accessibility, access, android, mobile, arduino, switch access, remote control, hands-free, tekla, tecla, shield, wheelchair, iPhone, ECU, disabled, handicap, physical, impairment, motor, quadriplegia, paraplegia, hemiplegia, CP, ALS, MS, sip, puff, head, joystick, alternative, input, rehabilitation, assistive, technology, AT, wireless, bluetooth, method, single, keyboard, on-screen, open, source, interface, inclusive, electronic, aid, EADL, integrated, speakerphone, automatic, voice, commands, search, device, Mobile Phone, User Interface",http://wiki.komodoopenlab.com/index.php/Main/GSoC2012
google/gsoc2012/learningu,"Learning Unlimited, Inc.",learningu,"python, django, ajax",http://wiki.learningu.org/GSOC_Ideas
google/gsoc2012/libav,Libav,libav,multimedia libav video audio streaming H.265 HEVC assembly DTS-HD ALS Opus DNG C,http://wiki.multimedia.cx/index.php?title=Libav_Summer_Of_Code_2012
google/gsoc2012/libreoffice,LibreOffice,libreoffice,"office, word processor, spreadsheet, drawing, slideshow",https://wiki.documentfoundation.org/Development/Gsoc/Ideas
google/gsoc2012/liquid_galaxy,Liquid Galaxy Project,liquid_galaxy,"google earth, immersive, 3d, virtual reality, html5, websockets, KML, geospatial, GIS, 3d graphics, panoramic, visualization, game engines, linux, android, kinect",http://code.google.com/p/liquid-galaxy/wiki/GSoC2012
google/gsoc2012/mlab,Measurement Lab,mlab,,http://measurementlab.net/gsoc_2012
google/gsoc2012/melange,Melange,melange,"python, appengine, django",http://code.google.com/p/soc/wiki/GSoC2012Ideas
google/gsoc2012/metabrainz,MetaBrainz Foundation Inc.,metabrainz,music metadata perl python data archive fun,http://wiki.musicbrainz.org/Development/Summer_of_Code/2012
google/gsoc2012/metalink,Metalink,metalink,"downloads, distribution, web, browser, http, ftp, p2p, peer to peer, open standards, integrity, mirrors, cdn, hashes, file transfer, xml, python, C++, C, javascript",http://www.metalinker.org/ideas.html
google/gsoc2012/minix,MINIX 3,minix,"minix, os, kernel, clang, llvm, gcc, binutils, toolchain, bsd, pkgsrc",http://www.minix3.org/soc-2012
google/gsoc2012/mit_center_for_mobile_learning,MIT Center for Mobile Learning @ The Media Lab,mit_center_for_mobile_learning,"android, mobile, education",http://people.csail.mit.edu/hal/summer-of-code.html
google/gsoc2012/mixxx,Mixxx DJ Software,mixxx,dj audio multimedia music qt c++ realtime,http://mixxx.org/wiki/doku.php/gsoc2012ideas
google/gsoc2012/moinmoin,MoinMoin Wiki,moinmoin,"python, wiki, web, wsgi, javascript, jquery, html, html5, css, werkzeug, flask, jinja2, jinja, flatland, whoosh, search, docbook, dom, xml, elementtree, emeraldtree, ui, design, usability, json, jsonrpc, xmlrpc, dvcs, mercurial, hg, bitbucket, moin, moinmoin, moin2",http://moinmo.in/GoogleSoc2012/InitialProjectIdeas
google/gsoc2012/monkey,Monkey HTTP Daemon,monkey,"Linux, HTTP, Embedded, Android, Web Services, C, Scalability, Networking, Threads, FastCGI, GarbageCollector",http://monkey-project.com/gsoc2012/ideas
google/gsoc2012/mono,Mono Project,mono,"C#, C, C++, Mono, VM, GC, Runtime, MonoDevelop, GTK, OSX, Linux, Windows",http://www.mono-project.com/Gsoc
google/gsoc2012/moodle,Moodle,moodle,"php, javascript, moodle, lms, vle",http://docs.moodle.org/dev/Projects_for_new_developers
google/gsoc2012/mozilla,Mozilla,mozilla,mozilla firefox thunderbird C++ python javascript xul html css web calendar instantbird documentation django emscripten,https://wiki.mozilla.org/Community:SummerOfCode12
google/gsoc2012/mysociety,mySociety,mysociety,"perl, ruby, php, python, postgresql, android, ios, web, django, rails, catalyst, democracy, accountability, transparency, ngo, parliamentary monitoring",http://www.mysociety.org/gsoc2012ideas/
google/gsoc2012/nescent,National Evolutionary Synthesis Center,nescent,"biology, evolution, c++, perl, R, Java, visualization",http://informatics.nescent.org/wiki/Phyloinformatics_Summer_of_Code_2012
google/gsoc2012/nrnb,National Resource for Network Biology (NRNB),nrnb,"wiki, mediawiki, biology, java, bigdata, php, javascript, actionscript, jquery, web, web services, database, data, cytoscape, wikipathways, pathvisio, visualization, science, rdf, ",http://nrnb.org/gsoc
google/gsoc2012/nuigroup,Natural User Interface Group,nuigroup,"android, hci, computer_vision, user_interface, java, touch_interface, voice_recognition, mobile, ux - user experience, ios, c++, kinect, python, multi-touch, signal_processing",http://gsoc.nuigc.com/about/ideas
google/gsoc2012/networktime,Network Time,networktime,"Network Time, NTP, PTP, PTPd, IEEE-1588",http://www.networktimefoundation.org/#ideas
google/gsoc2012/newvisions,New Visions for Public Schools,newvisions,"Apps Script, Drupal CMS",https://sites.google.com/a/newvisions.org/robot-secretary-project-hub/project-directory
google/gsoc2012/ninux,Ninux.org,ninux,,http://wiki.ninux.org/GSoCIdeas2012
google/gsoc2012/nmap,Nmap Security Scanner,nmap,"security, lua, c++, c",http://nmap.org/soc/
google/gsoc2012/ogdf,OGDF - Open Graph Drawing Framework,ogdf,"C++, graph drawing, graph algorithms, visualization",http://www.ogdf.net/doku.php/gsoc2012
google/gsoc2012/ogre,OGRE (Object-Oriented Graphics Rendering Engine),ogre,"opengl, opengles, directx, c, rendering, 3d, render, engine, c++, simulation, games, gpu, windows, linux, osx, nacl, android, ios, cross, math, matrix, real-time",http://www.ogre3d.org/tikiwiki/Help+Requested
google/gsoc2012/obf,Open Bioinformatics Foundation,obf,"perl, python, ruby, java, bioinformatics, genomics, biology",http://www.open-bio.org/wiki/Google_Summer_of_Code
google/gsoc2012/openlighting,Open Lighting Project,openlighting,C++ lighting Python DMX512 RDM control-systems network,http://www.opendmx.net/index.php/OLA_SOC_Ideas_Page
google/gsoc2012/opencv,Open Source Computer Vision Library (OpenCV),opencv,"computer vision, vision, camera, perception, 2D, 3D, image processing, object recognition, machine learning",http://code.opencv.org/projects/gsoc2012/wiki/Gsoc2012
google/gsoc2012/opencast,Opencast Matterhorn,opencast,"education, multimedia, video, elearning, java, python, html5, gstreamer",http://opencast.jira.com/wiki/display/MH/Google+Summer+of+Code+Ideas+Page
google/gsoc2012/opencog,OpenCog Foundation,opencog,"AI, AGI, artificial intelligence, machine learning, C++, Python, Scheme",http://wiki.opencog.org/w/Ideas
google/gsoc2012/openflowhub,OpenFlowHub,openflowhub,,http://www.openflowhub.org/display/floodlightcontroller/Ideas+for+Projects
google/gsoc2012/openicc,OpenICC,openicc,"ICC, colour_management, printing, displaying, movie, GPU, OpenGL, toolkit, linux, mac, windows",http://www.freedesktop.org/wiki/OpenIcc/GoogleSoC2012
google/gsoc2012/openimageio,OpenImageIO,openimageio,"image-processing, graphics, file-formats, c++, python, images, texture-mapping, rendering",http://github.com/OpenImageIO/oiio/wiki/GSoC-Idea-Page
google/gsoc2012/openintents,OpenIntents,openintents,"android, mobile software, intents, java, webintents, cloud sync, app engine, sensor simulator, user interface, iPhone, Windows Phone 7, socket, plugins, eclipse",http://code.google.com/p/openintents/wiki/GSoC2012Ideas
google/gsoc2012/openmrs,OpenMRS,openmrs,"medical_records, health, clinics, ehealth, hospitals, hfoss, healthcare, emr, ehr, hl7, mhealth, africa, developing_world, poverty, global_health, dojo, spring, api, mysql, internationalization, l8n, mrs, i10n, openmrs, hr, human_resources, xml, hibernate, localization, search, localisation, statistics, java, maven, ict4d, phr, tomcat, database, internationalisation, ",http://go.openmrs.org/soc2012
google/gsoc2012/opennms,OpenNMS,opennms,"android, java, spring, gwt, hibernate",http://www.opennms.org/wiki/Google_Summer_of_Code_2012
google/gsoc2012/osm,OpenStreetMap,osm,"geodata, maps",http://wiki.openstreetmap.org/wiki/GSoC_Project_Ideas_2012
google/gsoc2012/opensuse,openSUSE,opensuse,"opensuse, linux, development, distribution",http://en.opensuse.org/openSUSE:GSOC_2012_Ideas
google/gsoc2012/openwall,Openwall,openwall,"kernel, bitslice, assembler, virtualization, linux, distributed-processing, fpga, opencl, privilege-reduction, gpu, openvz, privilege-separation, openmp, password, cryptography, security, c, qt, os, gui, c++, password-hashing, cuda, simd-intrinsics, distribution, parallel-processing",http://openwall.info/wiki/ideas
google/gsoc2012/orange,Orange ¡V Data Mining Fruitful & Fun,orange,"data_mining, machine_learning, artificial_intelligence, python, bioinformatics",http://orange.biolab.si/trac/wiki/GSoC/Ideas
google/gsoc2012/osuosl,Oregon State University Open Source Lab (OSUOSL),osuosl,"system administration, nagios, ganeti, kvm, xen, python, ganetiwebmanager, puppet, supercell, django, cloud",http://wiki.osuosl.org/soc/ideas2012
google/gsoc2012/osgeo,OSGeo - Open Source Geospatial Foundation,osgeo,"postgres, c, gis, live-disc, algorithm, java, c#, graph, javascript, mapping, c++, ajax, geospatial, mysql, http, php, geo, mssql, 3d",http://wiki.osgeo.org/wiki/Google_Summer_of_Code_2012_Ideas
google/gsoc2012/owasp,OWASP Foundation,owasp,"Application security, Esapi, Esapi Swingset, Zap Proxy, Antisamy, Appsensor, Mobile Security, Java, Java servlets, SVN, JUnit, SOAP, REST, HTML, C++, C#, PHP, Python, Ruby, Ajax, .Net, Tomcat, Maven, Struts.",https://www.owasp.org/index.php/GSoC2012_Ideas
google/gsoc2012/packetfence,PacketFence,packetfence,"security, infosec, perl, php, network, dot1x, ids, scanner, authentication, L2, radius, dhcp, arp, L3, cluster, high-availability, active-active, html, css, javascript, sql",https://docs.google.com/document/pub?id=1SCJeF-3n3_jlxkjXVLUvOUu9PB2GGI0ONP5FzTvgZic&pli=1#h.j9sd1rpinsvo
google/gsoc2012/parrot,Parrot Foundation,parrot,"Parrot, VM, C, Perl",https://github.com/parrot/parrot/wiki/Summer-of-Code-Task-Ideas
google/gsoc2012/phpbb,phpBB Ltd.,phpbb,"forum, bulletin, board, php, webdesign",http://wiki.phpbb.com/GSoC/2012/Ideas
google/gsoc2012/phpmyadmin,phpMyAdmin,phpmyadmin,"web-interface, mysql, php, database",http://wiki.phpmyadmin.net/pma/GSoC_2012_Ideas_List
google/gsoc2012/pidgin,"Pidgin, Finch, and libpurple",pidgin,"pidgin, finch, libpurple, instant messaging, im, networking, gtk, glib, c, amazing, awesome, a+++++ would do business with again, space mice, team edward",http://developer.pidgin.im/wiki/FutureSOCProjects
google/gsoc2012/pcl,Point Cloud Library (PCL),pcl,"perception, point cloud, research, registration, kinect, computer vision, computer graphics, entertainment, motion tracking, segmentation, filtering, simulation, visualization, 3D, 6D, robots, robotics, SLAM, mapping, object recognition, image processing, people tracking, C++, webGL, python",http://www.pointclouds.org/gsoc2012/ideas.html
google/gsoc2012/portland_state,Portland State University,portland_state,"academia, individual projects, new projects, portland oregon usa",http://summer.cs.pdx.edu/ideas
google/gsoc2012/postgresql,PostgreSQL Project,postgresql,"database, C, C++, PHP, Perl, Python, Java, SQL",http://www.postgresql.org/developer/summerofcode
google/gsoc2012/processing,Processing,processing,,http://code.google.com/p/processing/wiki/ProjectList
google/gsoc2012/pulseaudio,PulseAudio,pulseaudio,"audio, pulseaudio, bluetooth, network, C, system, the audio server your audio server could smell like",http://www.freedesktop.org/wiki/Software/PulseAudio/GSoC2012
google/gsoc2012/puppetlabs,Puppet Labs,puppetlabs,puppet automation ruby linux sysadmin devops,http://projects.puppetlabs.com/projects/puppet/wiki/GSOC12
google/gsoc2012/python,Python Software Foundation,python,Python,http://wiki.python.org/moin/SummerOfCode/2012
google/gsoc2012/rproject,R project for statistical computing,rproject,,http://rwiki.sciviews.org/doku.php?id=developers:projects:gsoc2012&s=gsoc
google/gsoc2012/raxa,Raxa,raxa,"Health, EMR, India, JavaScript, Sencha, OpenMRS, MoTeCH, eHealth, Hospitals, CHW, Healthcare, mHealth, GlobalHealth, MySql, Statistics, Java, ICT4D, PHR",https://raxaemr.atlassian.net/wiki/x/GABE
google/gsoc2012/reviewboard,Review Board,reviewboard,"code review, webapp, python, javascript, django, jquery",http://code.google.com/p/reviewboard/wiki/Student_Project_Ideas
google/gsoc2012/rtems,RTEMS Project,rtems,RTOS real-time OS kernel POSIX threads SMP multicore embedded C Ada,http://www.rtems.org/wiki/index.php/Open_Projects
google/gsoc2012/sage,Sage Mathematical Software System,sage,"mathematics, maths, python, cython, calculus, symbolics, algebra, numerics, plotting, graphics, ajax, jquery, interactive, website, server, algorithms, scientific, education",https://docs.google.com/document/pub?id=1v91UmkDvgEInzPFT_g0osid5g69oKKmyx0NclwcyqI4
google/gsoc2012/sahana,Sahana Software Foundation,sahana,"python, web2py, php, symfony",http://wiki.sahanafoundation.org/doku.php/community:gsoc:gsoc2012:ideas
google/gsoc2012/sakaiproject,Sakai Project,sakaiproject,"sakai, cle, oae, learning management system, lms",https://confluence.sakaiproject.org/display/MGT/Google+Summer+of+Code+2012+ideas+list
google/gsoc2012/samba,Samba,samba,C SMB CIFS Kernel,http://wiki.samba.org/index.php/SoC/Ideas
google/gsoc2012/epfl_scala,Scala Team,epfl_scala,"scala, programming language, ide, epfl",http://www.scala-lang.org/gsoc2012
google/gsoc2012/scilab,Scilab,scilab,numerical computing matrix simulation modelisation geometric science computation hpc distributed computing,http://wiki.scilab.org/GSoC_project_proposal
